Receta;Categoria;Ingredientes;;;;;;;
Lasaña de Pollo y Champiñones;Segundo;pechugas de pollo, champiñones, mantequilla, harina, vino Marsala, caldo de pollo, sal, queso mozzarella, parmesano, cebolla china;;;;;;;
Pollo a la King;Segundo;pollo, mantequilla, harina, leche, apio, champiñones, pimiento, pimiento en conserva, sal, pimienta, salsa Worcestershire, perejil;;;;;;;
Postre de Pavo con Salsa Gravy;Segundo;pavo, harina, leche, cebolla, mantequilla, zanahorias, apio, chícharos;;;;;;;
Hamburguesas de Salmón;Segundo;pan molido, perejil, eneldo seco, salmón fresco, mayonesa;;;;;;;
Sopa de Espárragos;Entrada;espárragos, mantequilla, cebolla picada, caldo de pollo, sal, pimienta blanca, crema de leche;;;;;;;
Sopa de Lentejas;Entrada;lentejas, cebolla, pimiento verde, zanahoria, apio, ajo, tomate, laurel, sal, pimienta;;;;;;;
Sopa de Vegetales;Entrada;zanahoria, papa, apio, cebolla, ajo, tomate, calabacín, arvejas, maíz;;;;;;;
Sopa de Tomate con Albahaca;Entrada;tomate, albahaca fresca, ajo, cebolla, aceite de oliva, sal, pimienta, crema de leche;;;;;;;
Crema de Calabaza;Entrada;calabaza, cebolla, ajo, crema de leche, mantequilla, sal, pimienta;;;;;;;
Postre de Pecan Bourbon;Postre;mantequilla, azúcar, huevos, harina para Postre, polvo de hornear, sal, nuez moscada, crema agria, bourbon, pacanas, azúcar glas, bourbon, agua;;;;;;;
Pizza Estilo Chicago;Segundo;levadura seca, agua, azúcar, sal, harina, harina de maíz, queso mozzarella, orégano, pimienta, pimiento verde, champiñones, queso parmesano;;;;;;;
Chicha Peruana;Bebida;canela, agua,maiz morado, azucar, limon;;;;;;;
Pan de Trigo Sarraceno;Segundo;huevos, agua, harina de alforfón, azúcar moreno claro, harina de trigo integral, suero de leche, sal, semillas de alcarraza, harina de trigo;;;;;;;
Pollo con Albóndigas;Segundo;pollo, zanahoria, apio, cebolla, cubos de caldo de pollo, mantequilla, harina, vino de jerez, jugo de limón, sal, polvo de hornear, sal, manteca, leche, guisantes;;;;;;;
Budín de Brownie;Postre;harina de trigo, azúcar granulada, polvo de hornear, sal, leche, vainilla, mantequilla, azúcar moreno, agua hirviendo;;;;;;;
Salchichón;Segundo;leche, sal fina, pimienta blanca, macis, jengibre, nuez moscada, concentrado de proteína de soja en polvo, huevos, perejil fresco;;;;;;;
Tarta de Brownie y Queso;Postre;gránulos de café instantáneo, canela, azúcar, azúcar, harina todo uso, extracto de vainilla, queso crema sin grasa, leche descremada, frambuesas frescas;;;;;;;
Salsa de Tomate Fría al Estilo California;Salsas;tomates, apio, cebolla, pimiento verde, sal, vinagre de manzana, azúcar, chile verde;;;;;;;
Salsa Alfredo;Salsas;mantequilla dulce, crema espesa, queso parmesano, sal, pimienta;;;;;;;
Aderezo Ranch con Suero de Leche;Segundo;ajo, sal, suero de leche, crema agria, jugo de lima, perejil, cebollinos;;;;;;;
Pechuga con Chucrut y Puré de Manzana;Segundo;tomates guisados, chucrut, puré de manzana, azúcar moreno oscuro, pechuga de res;;;;;;;
Pudín de Pan;Postre;leche, huevos, azúcar, sal, vainilla real, mantequilla sin sal;;;;;;;
Mezcla Rápida para Todo Uso con 28 Variaciones;Segundo;harina integral, harina, polvo de hornear, sal, mantequilla;;;;;;;
Empanadillas Brasileñas;Segundo;mantequilla, harina, sal, margarina, leche, agua, camarones, cebolla, tomates, perejil, limón, sal, pimienta, salsa Tabasco, ajo, almidón de maíz, aceite de oliva, comino, pimientos;;;;;;;
Bubble and Squeak;Desayuno;papas, mantequilla sin sal, crema espesa, tocino, cebolla, apio, salvia, pimienta blanca, coles de Bruselas;;;;;;;
Coles de Bruselas Guisadas con Vinagre y Eneldo;Vegetales;coles de Bruselas, eneldo fresco, vinagre de vino;;;;;;;
Postre Madeira de Mantequilla;Postre;harina, polvo de hornear, azúcar glas, mantequilla, huevos, leche, esencia de vainilla;;;;;;;
Dips de Mantequilla;Pan;mantequilla, harina, azúcar, polvo de hornear, sal, leche;;;;;;;
Brownies;Postre;chocolate amargo, mantequilla, azúcar, harina, huevos, extracto de vainilla, ron, café filtrado;;;;;;;
Burritos para Desayuno;Desayuno;huevos, salchicha campestre, tortillas de harina;;;;;;;
Pasta de Almendra;Postre;jugo de limón fresco, agua, azúcar;;;;;;;
Tartas de Mantequilla de Arándano;Postre;huevo, jarabe de maíz, jugo de limón, vainilla, azúcar moreno, harina todo uso, arándanos;;;;;;;
Pudín de Pan con Salsa Jack Daniels;Postre;leche, huevos, leche evaporada, mantequilla, azúcar, vainilla, nuez moscada, canela, mantequilla, azúcar, agua, mantequilla, azúcar, agua;;;;;;;
Borscht;Postre;col, cebolla, apio, mantequilla, remolachas, salsa de tomate, azúcar moreno, hoja de laurel, romero, jugo de limón;;;;;;;
Galletas de Arándano;Postre;harina, polvo de hornear, sal, manteca vegetal, azúcar, huevo, leche, ralladura de limón, arándanos;;;;;;;
Postre de Manzana con Nueces Pecanas de Abby;Postre;mantequilla, azúcar, canela, nuez moscada, harina todo uso, manzanas ácidas, mantequilla, huevos, leche, ron, extracto de vainilla, nueces pecanas, polvo de hornear, bicarbonato de sodio, sal;;;;;;;
Postre de Zanahoria II;Postre;zanahoria, huevos, azúcar, harina todo uso, sal, polvo de hornear, bicarbonato de sodio, canela, nueces, queso crema, azúcar, mantequilla sin sal, vainilla real;;;;;;;
Calzone;Segundo;salsa de tomate con cebolla, hojas de albahaca, hojas de orégano, salchicha italiana de Plato Principal, agua, aceite de oliva, queso mozzarella, queso romano, queso parmesano;;;;;;;
Hamburguesas de Res Cajún;Segundo;carne de res, pimienta negra, perejil fresco, cebolla española, sal, tomates estofados al estilo cajún, hojas de tomillo secas;;;;;;;
Lasagna de Pollo y Brócoli;Segundo;mantequilla, harina, leche, caldo de pollo, huevos, queso parmesano, mantequilla, cebolla, ajo, pollo, brócoli, perejil, queso mozzarella, queso parmesano, sal, nuez moscada;;;;;;;
Pollo Guisado con Cebollas y Tomates;Segundo;cebollas, raíz de jengibre, ajo, chiles serranos verdes, tomates, vainas de cardamomo negro, ramas de canela, clavos, granos de pimienta negra, hojas de laurel, comino, pimienta de cayena, cúrcuma, yogur natural, ron oscuro, sal, cilantro, piezas de pollo;;;;;;;
Scones de Arándano;Postre;harina todo uso, azúcar, polvo de hornear, sal, mantequilla sin sal, arándanos frescos, ralladura de limón, crema espesa, huevos;;;;;;;
Sándwich de Zanahoria y Tahini;Segundo;zanahoria, mantequilla de sésamo tahini, tofunaise, mayonesa, pasas;;;;;;;
Hamburguesas Cajún de Res;Segundo;carne de res, pimienta negra, perejil fresco, cebolla española, sal, tomates guisados al estilo cajún, hojas de tomillo secas;;;;;;;
Postre de Suero de Leche en Masa de Harina de Maíz;Postre;harina, sal, harina de maíz, manteca, queso cheddar, agua, huevos, azúcar, mantequilla, harina, suero de leche, ralladura de limón, jugo de limón, azúcar;;;;;;;
Cordero Abierto con Mantequilla de Ajo;Segundo;cordero, perejil, tomillo fresco, cáscara de limón, ajo, pimienta negra molida, mantequilla, jugo de limón, papa pequeña, chalotas, aceite de oliva;;;;;;;
Borscht;Segundo;betabeles, agua, eneldo fresco, crema agria;;;;;;;
Lasaña de Pollo y Brócoli;Segundo;mantequilla, harina, leche, caldo de pollo, huevos, queso parmesano, mantequilla, cebolla, ajo, pollo, brócoli, perejil, queso mozzarella, queso parmesano, sal, nuez moscada;;;;;;;
Bizcochos de Zanahoria y Jengibre;Segundo;harina para todo uso, harina integral, polvo de hornear, bicarbonato de sodio, jengibre, sal, zanahoria, yogurt bajo en grasa, aceite de canola, miel;;;;;;;
Pechugas de Pollo Saltimbocca;Segundo;mitades de Segundo sin hueso y sin piel, lonchas de jamón, queso suizo, harina para todo uso, queso parmesano, sal, salvia seca, pimienta, vino blanco seco, maicena, agua, arroz;;;;;;;
Espaguetis con Almejas;Segundo;almejas littleneck, aceite de oliva extra virgen, ajo, tocino canadiense, jamón ahumado, vermut blanco seco, vino blanco seco, caldo de almejas embotellado, papa para hornear, espaguetis, perejil de hoja plana;;;;;;;
Scones de Arándano;Postre;harina para todo uso, azúcar, polvo de hornear, sal, mantequilla sin sal, arándanos frescos, ralladura de limón, crema espesa, huevos;;;;;;;
Galletas de Arándano;Postre;harina, polvo de hornear, sal, manteca vegetal, azúcar, huevo, leche, ralladura de limón, arándanos;;;;;;;
Postre de Manzana con Pecanas de Abby;Postre;mantequilla, azúcar, canela, nuez moscada, harina para todo uso, manzanas ácidas, mantequilla, huevos, leche, ron, extracto de vainilla, pacanas, polvo de hornear, bicarbonato de sodio, sal;;;;;;;
Sándwich de Zanahoria y Tahini;Segundo;zanahoria, mantequilla de sésamo tahini, tofunaise, mayonesa, pasas;;;;;;;
Postre de Zanahoria II;Postre;zanahoria, huevos, azúcar, harina para todo uso, sal, polvo de hornear, bicarbonato de sodio, canela, nueces, queso crema, azúcar, mantequilla sin sal, vainilla natural;;;;;;;
Cassoulet de Cordero y Plato Principal;Segundo;frijoles cannellini, ketchup, chile en polvo, tomillo, agua, trozos de tocino, chuleta de cordero, cebolla;;;;;;;
Postre de Zanahoria de la Comisaría;Postre;azúcar, harina, sal, crema espesa, mantequilla sin sal, pacanas, vainilla, azúcar, harina, canela, polvo de hornear, sal, huevos, zanahorias, pacanas, pasas, mantequilla sin sal, queso crema, azúcar glas, extracto de vainilla, coco;;;;;;;
Tarta de Queso con Zanahoria y Maple;Postre;galletas Graham, mantequilla, zanahorias, queso crema bajo en grasa, azúcar granulada, jarabe de arce, huevos, agua, azúcar granulada, zanahoria;;;;;;;
Pudín de Yorkshire Excelente de Catherine;Postre;harina común, sal, pimienta negra, huevo, leche, agua;;;;;;;
Frijoles y Arroz Caribeños;Segundo;Frijoles de ojos negros, cebolla, dientes de ajo, comino, tomillo, hoja de laurel, arroz de grano largo, caldo de verduras, tomates, pimienta de Jamaica, sal;;;;;;;
Fettuccine Alfredo Ligero de Carnation;Segundo;Fettuccine, aceite de oliva, ajo, leche, queso parmesano, eneldo fresco, cebollinos frescos, nuez moscada, sal, pimienta, espárragos, salmón ahumado, jugo de limón;;;;;;;
Pudín de Arroz con Caramelo;Postre;Arroz de grano corto, azúcar moreno, mantequilla, leche, nuez moscada;;;;;;;
Batidos de Manzana con Caramelo;Bebida;Yogur congelado, leche 1 % baja en grasa, puré de manzana, canela;;;;;;;
Ponche de Champagne;Bebida;Concentrado de lima congelado, ginger ale;;;;;;;
Dumplings de Manzana con Butterscotch;Postre;Manzanas verdes, harina autoleudante, sal, azúcar, mantequilla, agua, mantequilla, azúcar moreno, jarabe dorado, agua;;;;;;;
Pan de Buttermilk con Avena;Segundo;Suero de leche, miel, mantequilla, margarina, harina de pan, avena enrollada, sal, levadura seca activa, levadura para pan de máquina;;;;;;;
Jarabe de Panqueque de Arándano;Salsas;Arándanos, agua, cáscara de limón, azúcar, jugo de limón;;;;;;;
Chanfana o Lampantana;Segundo;Bacon, aceite de oliva, cebollas, pimentón, clavos de olor, nuez moscada, hoja de laurel, perejil, ajo, piri-piri, vino tinto;;;;;;;
Cheesecake;Postre;Queso crema, azúcar, huevos, crema agria, vainilla, cáscara de limón, harina, arándanos;;;;;;;
Postre de Almendras y Plátano;Postre;DOLE®;;;;;;;
Cuadrado de Sultana de Caramelo;Postre;Mantequilla, azúcar, huevo, harina, polvo de hornear, sultanas, mantequilla, jarabe dorado, azúcar;;;;;;;
Postre de Naranja al Fuego;Postre;Naranjas;;;;;;;
Macarrones de Coco y Limón;Postre;Coco, azúcar, jugo de limón, cáscara de limón, harina;;;;;;;
Postre de Ángel Waldorf;Postre;Azúcar, sal;;;;;;;
Dip de Queso y Piña;Bebida;Queso, piña;;;;;;;
Sopa Ligera de Pepino;Bebida;Pepinos, crema agria sin grasa, caldo de pollo bajo en sodio, cebolla, perejil fresco, eneldo fresco, hierba de eneldo, jugo de limón, pimienta blanca;;;;;;;
Sandwiches de Verduras;Segundo;Zanahoria, lechuga, pepino, rábano, pasas, mayonesa, apio, ensalada de atún, ensalada de salmón;;;;;;;
Rollos de Queso;Segundo;Queso, pimienta;;;;;;;
Pollo Todo Uso en Crock Pot;Segundo;Pollo, pimienta de limón, sal, pimiento morrón, apio, zanahoria, cebollín, ajo, agua;;;;;;;
Tostadas de Anís;Segundo;Huevos, azúcar, harina, sal, polvo de hornear, vainilla;;;;;;;
Pan de Amistad Amish y Comienzo;Segundo;Azúcar, leche, harina, leche, huevos, extracto de vainilla, harina, azúcar, polvo de hornear, canela, sal, bicarbonato de sodio, pudín de vainilla instantáneo, canela, azúcar;;;;;;;
Pan de Maíz Amish;Segundo;Comienzo de Amistad Amish, huevos, leche, azúcar, harina, harina de maíz, bicarbonato de sodio, sal, polvo de hornear;;;;;;;
Apio Frío;Segundo;Apio, sal, salsa de soya, azúcar moreno;;;;;;;
Pollo Flambeado;Segundo;Segundo sin hueso ni piel, cebolla, sombreros de champiñón portabella, vino blanco seco, mantequilla, margarina, harina;;;;;;;
Curry de Pollo;Segundo;Semillas de comino, hojas de pimiento rojo, cúrcuma, jengibre, clavo, sal, pimienta negra, pechugas de pollo sin hueso ni piel, mantequilla, jengibre fresco, ajo, cebollas, palitos de canela, hoja de laurel, vainas de cardamomo, tomates enlatados enteros, yogur natural, pasas doradas, cilantro fresco, arroz basmati, anacardos, mermelada de mango;;;;;;;
Goulash de Pollo con Costra de Crema Agria;Segundo;Aceite de oliva, cebollas rojas, pollo sin hueso, pimentón, harina sazonada, pasta de tomate, vino tinto, yogur natural, mantequilla, crema agria, huevo, harina de autoleudante, perejil;;;;;;;
Pollo en Masa de Pizza;Segundo;Segundo, huevo, levadura seca activa, azúcar, sal, agua, harina de todo uso;;;;;;;
Lasaña de Pollo;Segundo;Cebolla, pimiento verde, leche descremada, hongos frescos, pimiento morrón, albahaca seca, queso cottage sin grasa, queso mozzarella, queso parmesano, pollo, queso cheddar;;;;;;;
Paté de Hígado de Pollo;Segundo;Mantequilla, queso crema, hígado de pollo, cebolla, caldo de pollo, brandy, pimentón, sal, pimienta de cayena;;;;;;;
Paté de Hígado de Pollo II;Segundo;Hígados de pollo, crema espesa, mantequilla, cebolla, ajo, pimienta inglesa, hoja de laurel, granos de pimienta, funghi porcini secos, champiñones blancos, vino madeira, cognac, chalota;;;;;;;
Paté de Hígado de Pollo III;Segundo;Hígados de pollo, mantequilla sin sal, cebollas, sal fina, pimienta blanca, brandy, crema espesa, tocino;;;;;;;
Camarones al Coco con Salsa de Mostaza y Naranja;Segundo;Camarones, harina de todo uso, sal, pimienta, pimentón, cerveza, coco, mermelada de naranja, mostaza Dijon;;;;;;;
Champiñones Rellenos Fáciles;Segundo;Champiñones frescos, mantequilla, apio, cebolla, salsa Worcestershire, hojuelas de perejil, sal, orégano;;;;;;;
Galletas Anzac;Postre;Avena, harina común, azúcar, jarabe dorado, mantequilla, bicarbonato de sodio, agua;;;;;;;
Mezcla de Chile Ancho;Bebida;Chiles secos ancho, chile en polvo suave, chile en polvo picante, chile chimayo en polvo, pimienta de cayena, pimienta negra, sal, pasta de chipotle;;;;;;;
Cena Amish de Seis Capas;Segundo;carne molida, papas crudas, apio, cebolla, sal, pimienta, pimiento verde, tomates enlatados, cebolla;;;;;;;
Pollo para el Domingo (O Cuando Sea);Segundo;arroz Minute, leche, partes de pollo, sal de condimento, pimienta, curry;;;;;;;
Lasaña de Postre de Pollo;Segundo;Segundo deshuesada, champiñones frescos, zanahoria, cebollín, guisantes verdes congelados, tomillo, sal, harina de todo uso, leche descremada, jerez seco, ricotta baja en grasa, queso mozzarella parcialmente descremado, queso suizo bajo en grasa;;;;;;;
Enrollados de Pollo;Segundo;pollo, queso crema, mantequilla, margarina, cebolla, cebollines, pimientos, leche, sal, pimienta, picatostes, mantequilla, margarina;;;;;;;
Pollo Supremo con Champiñones;Segundo;mantequilla, cebollas, champiñones, vino blanco seco, puré de tomate, pechugas de pollo deshuesadas;;;;;;;
Asado de Cola;Bebida;sal, pimienta, ajo en polvo, salsa de chile, salsa Worcestershire;;;;;;;
Postre de Cola;Postre;harina, azúcar blanca, bicarbonato de sodio, suero de leche, mantequilla, margarina, vainilla, huevos, malvaviscos en miniatura;;;;;;;
Sate de Pollo con Salsa de Cacahuate;Segundo;pechugas de pollo deshuesadas, salsa de soya, jugo de lima, mantequilla, cebolla, aceite de oliva, pimienta de cayena, salsa de soya, azúcar, ajo, jengibre, sal, jugo de lima;;;;;;;
Frijoles Crujientes de Coco;Bebida;semillas de sésamo, mantequilla, coco sin endulzar, chile en polvo, cúrcuma, sal, judías verdes;;;;;;;
Bocados de Pollo con Coco;Segundo;Segundo, coco, harina, sal, pimienta negra, ajo en polvo, huevo, mantequilla;;;;;;;
Postre de Pound de Chocolate;Postre;agua hirviendo, vainilla, huevos, harina para Postrees, azúcar, azúcar, polvo de hornear, sal, mantequilla sin sal;;;;;;;
Pollo con Champiñones Portabella;Segundo;pechugas de pollo, harina, aceite de oliva, mantequilla, champiñones portabella, cebolla blanca, cebollín, ajo fresco, albahaca fresca, orégano, jugo de limón fresco;;;;;;;
Tartas de Pollo, Manzana y Mozzarella;Segundo;pollo, cebolla, tomates secos, albahaca seca, queso mozzarella;;;;;;;
Pan de Cola con Frutas y Dátiles;Postre;dátiles, azúcar moreno, harina, bicarbonato de sodio, polvo de hornear, canela, cáscara de limón, huevo, extracto de vainilla, nueces;;;;;;;
Postre de Coca - Cola;Postre;harina, azúcar, sal, bicarbonato de sodio, margarina, suero de leche, malvaviscos en miniatura, huevos, margarina, azúcar glas, vainilla;;;;;;;
Filete Frito de Pollo con Salsa de Pimienta;Segundo;harina, sal, pimienta, pimienta de cayena, huevos, cerveza negra, mantequilla sin sal, harina, leche, sal, pimienta molida;;;;;;;
Rollos de Refrigerador de Claudi Sanders;Postre;manteca, azúcar, papa, leche, levadura para Postrees, harina, bicarbonato de sodio, sal, polvo de hornear;;;;;;;
Chili Con Carne Ganador de $20, 000;Segundo;cebolla, dientes de ajo, cerveza Budweiser, salsa de tomate Hunts, agua, chile en polvo, comino, caldo en cubos, orégano, pimentón, azúcar, harina, harina de maíz, agua;;;;;;;
Civil War Cake;Postre;pasas, agua, azúcar, manteca, harina para Postrees, sal, canela, bicarbonato de sodio, nuez moscada, clavo;;;;;;;
Chocolate Bread and Butter Pudding;Postre;mantequilla, chispas de chocolate, huevos, leche, azúcar, vino de jerez, vainilla;;;;;;;
Christmas Snow Punch;Bebida;helado de vainilla;;;;;;;
Christmas Cranberry Salad;Postre;arándanos, malvaviscos miniatura, azúcar, manzanas, uvas sin semillas, nueces, sal;;;;;;;
Chocolate Caramels;Plato Principal;azúcar, azúcar moreno, sal, jarabe de maíz, crema espesa, vainilla, mantequilla;;;;;;;
Chocolatey Raisin Chip Cookies;Postre;azúcar moreno, azúcar, aceite de canola, vainilla, agua, harina, bicarbonato de sodio, pasas, nueces;;;;;;;
Chocolate - Chocolate Cupcakes;Postre;agua, huevos, leche descremada, azúcar en polvo, extracto de vainilla, azúcar en polvo;;;;;;;
Crock Pot Chocolate Zucchini Nut Bread;Postre;manteca, azúcar, huevos, vainilla, bicarbonato de sodio, calabacín, leche, harina, nueces;;;;;;;
Chocolate Cashew Spread;Postre;anacardos sin sal, mantequilla;;;;;;;
Chocolate Chip Cheesecake Dip;Postre;pasas, brandy, queso crema, extracto de vainilla, azúcar moreno oscuro, canela;;;;;;;
Chilies Corn Muffins;Postre;harina para todo uso, harina de maíz, azúcar, azúcar moreno, polvo de hornear, sal, leche descremada, leche de soja, huevo, chiles verdes;;;;;;;
Classic Cream Scones;Postre;harina para todo uso, azúcar granulada, polvo de hornear, sal, mantequilla sin sal, crema espesa, huevo, extracto de vainilla, grosellas, pasas, huevo;;;;;;;
Chinese Chicken;Segundo;pollo, salsa de tomate, salsa de soja, jerez seco, vinagre blanco, chile en polvo, ajo, jengibre fresco;;;;;;;
Classic Chicken and Coconut Soup;Segundo;caldo de pollo, leche de coco sin azúcar, hierba de limón fresca, Segundo, jugo de lima, chile jalapeño, cilantro fresco;;;;;;;
Chinese Hot and Sour Chicken Noodle Salad;Segundo;Segundo, linguini seco, pimienta negra, vinagre de arroz, vinagre de manzana, salsa de soja, cilantro fresco, pepino;;;;;;;
Clam - Lobster Bake;Segundo;papas para hornear, batatas, maíz, cebollas, mitades de pollo, langostas vivas, almejas;;;;;;;
Chinese Hot and Sour Pork Soup;Segundo;salsa de soja, pimienta blanca, sustituto de huevo, almidón de maíz, brote de bambú, castaña de agua, zanahoria, seta shiitake, tofu de Postre, vinagre blanco, cebollín;;;;;;;
Citrus Glazed Barbecued Pork Loin;Segundo;aceite de canola, cebolla, ajo, chile chipotle, chile árbol, pimienta negra triturada, salsa Worcestershire, salsa barbacoa, limones, sal kosher, aceite de oliva;;;;;;;
Citrus Chicken;Segundo;mitades de Segundo, jugo de limón, jugo de lima, azúcar, orégano seco;;;;;;;
Citrus Baked Halibut;Segundo;filetes de halibut, mantequilla, cebolla, dientes de ajo, perejil fresco, sal, pimienta negra, jugo de limón fresco;;;;;;;
Chinese Plum Sauce;Segundo;ciruelas, cebolla, agua, raíz de jengibre, ajo, azúcar granulada, vinagre de arroz, vinagre de manzana, sal, canela, pimienta de cayena, clavo;;;;;;;
Chinese Meatballs;Segundo;camarones, castaña de agua, cebollín, salsa de soja, vino blanco, sal, azúcar, almidón de maíz, huevo, caldo de pollo, repollo napa;;;;;;;
Cinnamon Curry Rice;Postre;cebollas, papas, zanahoria, manzana, curry en polvo, harina, ajo, agua, mantequilla, arroz, canela;;;;;;;
Chocolate Almond Scones;Postre;harina para todo uso, polvo de hornear, azúcar, sal, mantequilla, huevos, chispas de chocolate;;;;;;;
Cinnamon Apple Salad;Postre;agua hirviendo, Postre de limón, puré de manzana, queso crema, mayonesa, nueces, apio;;;;;;;
Chunky Tomato Cheese Pie;Postre;tomates, cubos de queso cheddar, harina para todo uso, azúcar, sal, queso cheddar;;;;;;;
Chinese Chicken Salad;Postre;pollo, cebollín, zanahorias, col china, jengibre, salsa de soja, azúcar, vinagre de arroz, aceite de sésamo, sésamo;;;;;;;
Chocolate Banana Bread;Postre;harina para todo uso, azúcar moreno, polvo de hornear, bicarbonato de sodio, cacao en polvo, sal, huevos, plátanos, leche, mantequilla, vainilla;;;;;;;
Chocolate Mousse Pie;Postre;chocolate semiamargo, crema espesa, azúcar, claras de huevo, extracto de vainilla, galletas de chocolate;;;;;;;
Chocolate Chip Pancakes;Postre;harina para todo uso, polvo de hornear, bicarbonato de sodio, sal, azúcar, leche, huevos, mantequilla, chispas de chocolate;;;;;;;
Chocolate Cake;Postre;harina para todo uso, cacao en polvo, bicarbonato de sodio, polvo de hornear, sal, azúcar, leche, huevo, aceite vegetal, vainilla;;;;;;;
Chocolate Chip Cookies;Postre;harina para todo uso, bicarbonato de sodio, mantequilla, azúcar, azúcar moreno, huevo, extracto de vainilla, chispas de chocolate;;;;;;;
Chunky Tomato Sauce;Salsas;tomates, cebolla, ajo, pimientos, zanahorias, albahaca, orégano, azúcar, aceite de oliva;;;;;;;
Churros;Postre;harina para todo uso, mantequilla, agua, azúcar, canela, huevos;;;;;;;
Pudín de Chocolate;Postre;leche en polvo desnatada instantánea, azúcar, fécula de maíz, sal, mezcla para pudín de chocolate, leche, vainilla, mantequilla;;;;;;;
Pudín de Chocolate II;Postre;azúcar, fécula de maíz, sal, leche, chocolate para hornear, mantequilla, vainilla;;;;;;;
Galletas de Chocolate Crinkle;Postre;azúcar, huevos, vainilla, sal, harina, polvo de hornear, azúcar glas;;;;;;;
Profiteroles de Chocolate;Postre;agua, mantequilla sin sal, azúcar, sal, harina, huevos, helado;;;;;;;
Tarta de Chocolate Mousse;Postre;azúcar, harina de trigo, sal, leche, mantequilla, margarina, vainilla, crema de tártaro, azúcar;;;;;;;
Huevos de Pascua con Crema de Chocolate;Postre;mantequilla, harina, agua;;;;;;;
Tarta de Queso y Crema de Chocolate;Postre;cuadrado de chocolate alemán, leche, queso crema, azúcar, Cool Whip, base de tarta de galleta graham;;;;;;;
Crema de Chocolate Brulee;Postre;puré de castaña, nata espesa, canela, chocolate, azúcar;;;;;;;
Curry de Pollo II;Segundo;pollo, mantequilla sin sal, cebollas, sal, harina, pimienta de curry, jengibre, pimienta negra;;;;;;;
Rollitos de Primavera;Segundo;pollo, zanahoria, col, apio, brotes de soja, castañas de agua, salsa de soya, vinagre, kétchup, azúcar, salsa de soya, vino tinto, pimiento verde, cebolla;;;;;;;
Empanada;Segundo;mantequilla, carne de res magra, espinaca congelada, pimienta sazonada, crema agria, huevo, queso parmesano;;;;;;;
Empanadas de Horno;Segundo;harina de trigo, polvo de hornear, sal, huevo, leche, manteca, pimentón, cebollas, chile en polvo, comino, orégano, carne de res, huevos duros, aceitunas negras, pasas;;;;;;;
Ratatouille de Fin de Verano;Segundo;aceite de oliva, berenjena, zapallito italiano, pimientos (rojo, amarillo, verde), tomates, perejil, cebolla morada, ajo, sal kosher, pimienta, albahaca, queso parmesano;;;;;;;
Escalope de Salmón con Setas Chanterelle;Segundo;salmón, setas chanterelle, vino Noilly Prat, habas, arvejas, mantequilla, chalotas, jugo de limón, sal marina;;;;;;;
Pan Ezequiel;Segundo;harina de trigo, lentejas, agua, sal, aceite de oliva, agua tibia, miel;;;;;;;
